    Step    Atoms         KinEng            rke         Volume 
  200000    41518  3.1486278e-09  3.2126934e-09         0.0051 
  200100    41550   1.007984e-06  3.1936625e-09         0.0051 
  200200    41550   1.007803e-06   3.214403e-09         0.0051 
  200300    41550   1.007657e-06  3.1920216e-09         0.0051 
  200400    41550  1.0079739e-06   3.224021e-09         0.0051 
  200500    41550  1.0085008e-06  3.2009248e-09         0.0051 
  200600    41550  1.0091296e-06   3.234589e-09         0.0051 
  200700    41550   1.010005e-06  3.2210076e-09         0.0051 
  200800    41550  1.0112362e-06  3.2607684e-09         0.0051 
  200900    41550  1.0125395e-06  3.2300812e-09         0.0051 
  201000    41550  1.0141711e-06  3.2617902e-09         0.0051 
  201100    41550  0.00082865448  3.2407252e-09         0.0051 
  201200    41550   0.0016573638  3.2731914e-09         0.0051 
  201300    41550   0.0024859262  3.2482815e-09         0.0051 
  201400    41550    0.004420423  8.6135601e-06         0.0051 
  201500    41550   0.0069805167  3.9265257e-05         0.0051 
  201600    41550   0.0071370529  6.6161581e-05         0.0051 
  201700    41550   0.0074435286  0.00011535684         0.0051 
  201800    41550   0.0088098367  0.00020619598         0.0051 
  201900    41550   0.0073431106  0.00032892432         0.0051 
  202000    41550   0.0080051472   0.0003796387         0.0051 
  202100    41582   0.0072865492  0.00038510009         0.0051 
  202200    41582   0.0062861231  0.00044764755         0.0051 
  202300    41582   0.0093683322  0.00049184565         0.0051 
  202400    41582   0.0079561669  0.00046270069         0.0051 
  202500    41582   0.0084412893  0.00047278731         0.0051 
  202600    41582   0.0073015181  0.00051556649         0.0051 
  202700    41582   0.0047173039  0.00060083838         0.0051 
  202800    41582    0.004734481  0.00057703249         0.0051 
  202900    41582   0.0047159055  0.00057944139         0.0051 
  203000    41582   0.0062498947  0.00057499206         0.0051 
  203100    41582   0.0058199024   0.0005832704         0.0051 
  203200    41582   0.0061163691  0.00057083322         0.0051 
  203300    41582      0.0057947  0.00055391149         0.0051 
  203400    41582   0.0062576131  0.00051823484         0.0051 
  203500    41582   0.0052460233  0.00050383109         0.0051 
  203600    41582   0.0045021185  0.00049662907         0.0051 
  203700    41582   0.0054809049  0.00050532811         0.0051 
  203800    41582   0.0049637492  0.00055090797         0.0051 
  203900    41582   0.0089112083  0.00054677691         0.0051 
  204000    41582   0.0096092032  0.00055156406         0.0051 
  204100    41614    0.010249315   0.0005826587         0.0051 
  204200    41614    0.011980388  0.00060238549         0.0051 
  204300    41614    0.010765686  0.00066684685         0.0051 
  204400    41614    0.009191039  0.00074127645         0.0051 
  204500    41614   0.0076949587  0.00079030343         0.0051 
  204600    41614    0.010001574   0.0007410372         0.0051 
  204700    41614   0.0090731172  0.00074920679         0.0051 
  204800    41614    0.008729282  0.00084042836         0.0051 
  204900    41614   0.0072705798   0.0008648414         0.0051 
  205000    41614   0.0062878973  0.00088975042         0.0051 
  205100    41614   0.0055906691  0.00084557923         0.0051 
  205200    41614   0.0050451902  0.00085118819         0.0051 
  205300    41614    0.005755816  0.00084866465         0.0051 
  205400    41614   0.0070128144  0.00083742836         0.0051 
  205500    41614   0.0054987526  0.00085481108         0.0051 
  205600    41614    0.004731283  0.00080413495         0.0051 
  205700    41614   0.0044183375  0.00078718797         0.0051 
  205800    41614   0.0051588982  0.00077358831         0.0051 
  205900    41614   0.0071810773  0.00076499389         0.0051 
  206000    41614   0.0071774594  0.00075738763         0.0051 
  206100    41646   0.0075755696  0.00072810803         0.0051 
  206200    41646     0.00670753  0.00078858583         0.0051 
  206300    41646    0.005249424  0.00079582094         0.0051 
  206400    41646    0.009332853   0.0008000319         0.0051 
  206500    41646   0.0090852718   0.0008502253         0.0051 
  206600    41646    0.010377138  0.00084365869         0.0051 
  206700    41646    0.010733702  0.00098506523         0.0051 
  206800    41646   0.0091824017   0.0010421933         0.0051 
  206900    41646   0.0086085693   0.0010181366         0.0051 
  207000    41646   0.0083189231  0.00099723335         0.0051 
  207100    41646   0.0078923671   0.0010569734         0.0051 
  207200    41646   0.0074485498   0.0010359477         0.0051 
  207300    41646   0.0060492697  0.00094430505         0.0051 
  207400    41646   0.0076866061  0.00091451625         0.0051 
  207500    41645   0.0066676235  0.00091031515         0.0051 
  207600    41645   0.0082067957  0.00090352424         0.0051 
  207700    41645   0.0077145341  0.00097421017         0.0051 
  207800    41645   0.0069147635   0.0010005829         0.0051 
  207900    41645   0.0070029586   0.0010341144         0.0051 
  208000    41644   0.0073476334   0.0010520956         0.0051 
  208100    41676    0.005366427    0.001075688         0.0051 
  208200    41676   0.0065306004   0.0010915888         0.0051 
  208300    41676   0.0081127026   0.0010576931         0.0051 
  208400    41676   0.0077309441   0.0011428783         0.0051 
